image,x1,y1,x2,y2,x3,y3,x4,y4
0,586,251,720,807,77,843,131,269
1,338,135,340,461,111,465,117,131
2,324,127,331,473,91,474,102,129
3,740,75,810,963,115,997,77,107
4,252,85,262,374,26,375,36,87
5,527,64,623,689,105,777,43,125
6,495,45,546,554,125,551,178,45
7,752,37,857,614,247,651,315,43
8,1095,120,1112,1500,23,1461,84,116
9,708,309,1213,890,328,1203,89,389
10,806,372,1093,990,47,1049,234,361
11,820,348,1076,999,66,1044,279,356
12,146,11,313,103,190,202,14,67
13,554,35,514,730,40,730,18,11
14,537,33,534,717,40,719,48,27
15,541,134,383,658,10,557,156,27
16,510,85,551,691,33,693,71,91
17,664,89,445,1014,13,844,286,49
18,678,180,661,881,265,812,379,180
19,659,234,627,874,136,789,286,218
20,493,121,731,789,192,940,81,234
21,687,196,595,849,38,711,235,127
22,397,201,701,593,373,805,107,343
23,657,399,360,799,91,567,408,244
24,622,228,632,865,125,817,237,207
25,672,153,597,762,50,637,246,105
26,518,83,511,717,42,657,145,75
27,733,82,654,937,30,804,230,42
28,656,74,699,970,46,940,121,82
29,440,170,423,619,99,593,156,155
30,664,137,750,909,19,889,139,130
31,339,196,723,514,393,837,35,417
32,558,242,632,741,238,789,187,285
33,595,373,400,751,107,589,320,231
34,638,172,742,898,27,890,137,175
35,612,193,604,953,109,797,69,111
36,277,12,505,168,277,322,71,75
37,885,97,885,715,367,713,367,95
38,2360,672,2806,3077,827,3360,543,936
39,2212,949,2542,2685,726,2753,881,943
40,621,81,623,417,351,501,347,125
41,411,79,591,341,181,465,59,167
42,2212,922,2353,2867,766,2976,739,956
43,2198,882,2515,2604,692,2645,834,787
44,2144,1030,2428,2692,685,2807,732,1064
45,2360,1456,2178,3178,672,3293,597,1436
46,2367,882,2320,2915,827,2766,1131,943
47,2063,909,2488,2678,1273,2949,942,895
48,863,432,1478,930,734,1239,191,648
49,2394,1584,1962,3340,591,3320,847,1321
50,470,125,422,629,66,575,154,90
